ID_pytania;Nr_Pytania;Odpowiedz;Person_ID
1;13;5;1
2;14;3;1
3;15;2;1
4;13;1;2
5;14;1;2
6;15;1;2
7;13;3;3
8;14;1;3
9;15;1;3
10;13;2;4
11;14;2;4
12;15;2;4
13;13;2;5
14;14;3;5
15;15;2;5
16;13;2;6
17;14;3;6
18;15;2;6
19;13;2;7
20;14;2;7
21;15;2;7
22;13;2;9
23;14;2;9
24;15;2;9
25;13;2;10
26;14;3;10
27;15;1;10
28;13;4;11
29;14;4;11
30;15;2;11
31;13;1;13
32;14;1;13
33;15;1;13
34;13;2;14
35;14;2;14
36;15;2;14
37;13;3;16
38;14;3;16
39;15;3;16
40;13;2;12
41;14;2;12
42;15;2;12
43;13;4;15
44;14;4;15
45;15;2;15
46;13;2;18
47;14;2;18
48;15;1;18
49;13;2;20
50;14;2;20
51;15;2;20
52;13;1;19
53;14;3;19
54;15;2;19
55;13;2;21
56;14;2;21
57;15;2;21
58;13;4;22
59;14;2;22
60;15;2;22
61;13;2;23
62;14;2;23
63;15;2;23
64;13;3;24
65;14;3;24
66;15;2;24
67;13;2;25
68;14;3;25
69;15;3;25
70;13;2;27
71;14;2;27
72;15;1;27
73;13;2;28
74;14;2;28
75;15;1;28
76;13;1;29
77;14;2;29
78;15;1;29
79;13;1;30
80;14;1;30
81;15;1;30
82;13;3;31
83;14;1;31
84;15;2;31
85;13;2;32
86;14;2;32
87;15;1;32
88;13;2;33
89;14;4;33
90;15;2;33
91;13;3;34
92;14;1;34
93;15;2;34
94;13;3;36
95;14;3;36
96;15;2;36
97;13;2;35
98;14;3;35
99;15;2;35
100;13;2;37
101;14;2;37
102;15;2;37
103;13;4;38
104;14;2;38
105;15;2;38
106;13;2;39
107;14;2;39
108;15;1;39
109;13;1;40
110;14;1;40
111;15;1;40
112;13;2;41
113;14;2;41
114;15;1;41
115;13;3;42
116;14;2;42
117;15;2;42
118;13;1;44
119;14;1;44
120;15;2;44
121;13;2;45
122;14;3;45
123;15;2;45
124;13;2;46
125;14;1;46
126;15;2;46
127;13;1;47
128;14;1;47
129;15;1;47
130;13;2;49
131;14;1;49
132;15;1;49
133;13;1;48
134;14;2;48
135;15;1;48
136;13;3;50
137;14;3;50
138;15;3;50
139;13;2;51
140;14;2;51
141;15;2;51
142;13;2;53
143;14;1;53
144;15;1;53
145;13;1;52
146;14;2;52
147;15;1;52
148;13;2;54
149;14;2;54
150;15;2;54
151;13;2;55
152;14;2;55
153;15;1;55
154;13;2;56
155;14;1;56
156;15;1;56
157;13;2;57
158;14;2;57
159;15;1;57
160;13;2;58
161;14;2;58
162;15;1;58
