ID_pytania;Nr_Pytania;Odpowiedz;Person_ID
1;1;2;1
2;2;4;1
3;3;1;1
4;4;5;1
5;1;2;2
6;2;4;2
7;3;1;2
8;4;5;2
9;1;2;3
10;2;4;3
11;3;1;3
12;4;3;3
13;1;3;4
14;2;2;4
15;3;1;4
16;4;5;4
17;1;1;5
18;2;4;5
19;3;1;5
20;4;5;5
21;1;2;6
22;2;2;6
23;3;2;6
24;4;5;6
25;1;1;7
26;2;4;7
27;3;2;7
28;4;3;7
29;1;1;9
30;2;5;9
31;3;5;9
32;4;5;9
33;1;1;10
34;2;3;10
35;3;2;10
36;4;4;10
37;1;2;11
38;2;4;11
39;3;1;11
40;4;5;11
41;1;2;13
42;2;4;13
43;3;4;13
44;4;4;13
45;1;1;14
46;2;2;14
47;3;2;14
48;4;5;14
49;1;2;16
50;2;4;16
51;3;1;16
52;4;4;16
53;1;2;12
54;2;5;12
55;3;2;12
56;4;4;12
57;1;1;15
58;2;3;15
59;3;2;15
60;4;1;15
61;1;2;18
62;2;4;18
63;3;1;18
64;4;4;18
65;1;2;20
66;2;2;20
67;3;2;20
68;4;5;20
69;1;3;19
70;2;5;19
71;3;5;19
72;4;5;19
73;1;2;21
74;2;4;21
75;3;3;21
76;4;5;21
77;1;2;22
78;2;4;22
79;3;1;22
80;4;5;22
81;1;2;23
82;2;4;23
83;3;1;23
84;4;5;23
85;1;2;24
86;2;5;24
87;3;5;24
88;4;5;24
89;1;1;25
90;2;4;25
91;3;4;25
92;4;4;25
93;1;2;27
94;2;5;27
95;3;4;27
96;4;5;27
97;1;1;28
98;2;3;28
99;3;1;28
100;4;4;28
101;1;1;29
102;2;2;29
103;3;4;29
104;4;5;29
105;1;2;30
106;2;4;30
107;3;2;30
108;4;4;30
109;1;4;31
110;2;4;31
111;3;2;31
112;4;3;31
113;1;2;32
114;2;3;32
115;3;2;32
116;4;4;32
117;1;1;33
118;2;4;33
119;3;3;33
120;4;4;33
121;1;2;34
122;2;5;34
123;3;1;34
124;4;4;34
125;1;4;36
126;2;4;36
127;3;2;36
128;4;5;36
129;1;3;35
130;2;5;35
131;3;5;35
132;4;5;35
133;1;1;37
134;2;2;37
135;3;2;37
136;4;5;37
137;1;2;38
138;2;4;38
139;3;2;38
140;4;5;38
141;1;1;39
142;2;4;39
143;3;1;39
144;4;5;39
145;1;1;40
146;2;2;40
147;3;3;40
148;4;5;40
149;1;1;41
150;2;1;41
151;3;1;41
152;4;5;41
153;1;1;42
154;2;3;42
155;3;2;42
156;4;2;42
157;1;2;44
158;2;2;44
159;3;1;44
160;4;4;44
161;1;1;45
162;2;4;45
163;3;1;45
164;4;4;45
165;1;2;46
166;2;4;46
167;3;5;46
168;4;3;46
169;1;1;47
170;2;2;47
171;3;1;47
172;4;2;47
173;1;1;49
174;2;4;49
175;3;1;49
176;4;4;49
177;1;1;48
178;2;4;48
179;3;1;48
180;4;4;48
181;1;2;50
182;2;5;50
183;3;2;50
184;4;2;50
185;1;2;51
186;2;4;51
187;3;4;51
188;4;4;51
189;1;1;53
190;2;4;53
191;3;1;53
192;4;5;53
193;1;1;52
194;2;4;52
195;3;2;52
196;4;5;52
197;1;1;54
198;2;2;54
199;3;1;54
200;4;5;54
201;1;2;55
202;2;5;55
203;3;2;55
204;4;2;55
205;1;2;56
206;2;4;56
207;3;4;56
208;4;5;56
209;1;1;57
210;2;4;57
211;3;1;57
212;4;3;57
213;1;4;58
214;2;2;58
215;3;1;58
216;4;5;58
